Id,Prenom,Nom,IdAPD,NbHeureDemandeAPD,NbHeureAccordeAPD,CoutHorraireDemandeAPD,CoutHorraireAccordeAPD,IdAPJ,NbHeureDemandeAPJ,NbHeureAccordeAPJ,CoutHorraireDemandeAPJ,CoutHorraireAccordeAPJ,IdVAEI,NbHeureDemandeVAEI,NbHeureAccordeVAEI,CoutHorraireDemandeVAEI,CoutHorraireAccordeVAEI,IdVAEC,NbHeureDemandeVAEC,NbHeureAccordeVAEC,CoutHorraireDemandeVAEC,CoutHorraireAccordeVAEC,IdFormatif,NbHeureDemandeFormatif,NbHeureAccordeFormatif,CoutHorraireDemandeFormatif,CoutHorraireAccordeFormatif,IdJury,NbHeureDemandeJury,NbHeureAccordeJury,CoutHorraireDemandeJury,CoutHorraireAccordeJury
30,Dina ,Julienne ,1,91,41,18,15,2,80,71,14,14,3,53,32,11,11,4,72,54,13,11,5,57,42,11,11,6,36,36,21,17
31,Dina ,Julienne ,1,47,42,14,12,2,74,43,13,11,3,69,62,21,11,4,31,31,26,15,5,86,30,26,16,6,36,30,28,13
32,Dina ,Julienne ,1,79,67,20,19,2,93,56,28,21,3,34,33,18,11,4,58,50,20,15,5,79,35,15,10,6,76,38,22,10
33,Dina ,Julienne ,1,52,44,23,19,2,35,35,17,14,3,39,34,30,14,4,88,38,15,12,5,93,46,17,11,6,64,46,20,11
34,Dina ,Julienne ,1,30,30,10,10,2,78,49,21,19,3,85,50,24,13,4,94,51,25,24,5,98,94,25,16,6,88,79,20,12
35,Dina ,Julienne ,1,94,83,23,16,2,36,31,15,11,3,70,56,12,11,4,55,53,21,15,5,50,37,11,11,6,46,33,18,16
36,Dina ,Julienne ,1,69,43,26,20,2,71,49,27,14,3,39,31,24,19,4,64,37,18,10,5,31,30,14,13,6,47,39,20,10
37,Dina ,Julienne ,1,65,38,16,16,2,67,47,14,10,3,66,35,13,11,4,93,84,12,11,5,100,96,19,16,6,99,32,15,15
38,Dina ,Julienne ,1,42,35,22,14,2,46,36,17,16,3,31,31,24,13,4,49,46,17,17,5,90,44,13,13,6,59,36,14,14
39,Dina ,Julienne ,1,56,41,13,12,2,68,40,16,11,3,84,40,20,14,4,51,47,17,16,5,85,37,10,10,6,100,95,26,26
40,Dina ,Julienne ,1,37,36,11,11,2,60,42,29,24,3,97,72,16,14,4,43,38,10,10,5,68,39,14,14,6,88,87,27,15
41,Dina ,Julienne ,1,51,46,23,20,2,76,36,21,15,3,85,65,25,14,4,95,86,18,12,5,77,56,19,15,6,60,60,14,14
42,Dina ,Julienne ,1,53,37,23,17,2,70,64,26,19,3,95,71,28,27,4,85,56,13,11,5,70,61,20,20,6,50,36,18,13
43,Dina ,Julienne ,1,83,53,13,12,2,39,36,30,26,3,65,42,28,23,4,65,61,24,21,5,58,52,27,23,6,84,78,26,21
44,Dina ,Julienne ,1,32,30,28,22,2,89,87,10,10,3,89,78,23,18,4,52,32,19,17,5,52,30,24,21,6,79,65,22,14
45,Dina ,Julienne ,1,97,49,26,13,2,64,42,18,17,3,76,61,23,16,4,90,88,18,15,5,79,75,26,22,6,82,30,19,10
46,Dina ,Julienne ,1,100,77,16,14,2,48,38,21,18,3,43,35,10,10,4,96,67,18,10,5,47,33,10,10,6,43,34,22,21
47,Dina ,Julienne ,1,69,48,15,13,2,95,51,10,10,3,90,42,16,14,4,73,37,21,19,5,51,46,24,22,6,67,35,26,21
48,Dina ,Julienne ,1,64,42,17,14,2,37,36,19,16,3,93,85,20,10,4,45,42,10,10,5,63,45,14,10,6,79,43,21,19
49,Dina ,Julienne ,1,65,45,25,18,2,37,35,20,20,3,63,32,29,13,4,90,39,28,12,5,40,31,21,10,6,46,41,29,14
